time,open,high,low,close,volume
2025.12.13 21:00,90114.120000,90195.120000,89756.450000,90179.730000,1761
2025.12.13 20:00,90207.720000,90237.630000,90047.360000,90116.470000,985
2025.12.13 19:00,90130.680000,90245.470000,90113.220000,90193.250000,903
2025.12.13 18:00,90068.760000,90206.330000,90049.560000,90135.960000,1175
2025.12.13 17:00,90108.540000,90123.040000,89985.710000,90072.270000,1334
2025.12.13 16:00,90111.270000,90286.380000,90035.420000,90109.060000,1402
2025.12.13 15:00,90092.270000,90300.830000,90046.910000,90107.730000,1553
2025.12.13 14:00,90270.960000,90362.680000,89927.930000,90101.720000,1927
2025.12.13 13:00,90365.740000,90471.510000,90201.880000,90272.090000,1497
2025.12.13 12:00,90361.680000,90494.690000,90293.240000,90359.580000,1333
2025.12.13 11:00,90601.210000,90622.350000,90291.880000,90359.740000,1363
2025.12.13 10:00,90432.750000,90654.430000,90415.160000,90603.530000,1228
2025.12.13 09:00,90466.240000,90527.090000,90385.570000,90430.260000,1175
2025.12.13 08:00,90345.640000,90584.570000,90320.310000,90468.580000,1641
2025.12.13 07:00,90363.190000,90414.700000,90328.630000,90342.340000,983
2025.12.13 06:00,90337.080000,90385.600000,90271.470000,90363.590000,831
2025.12.13 05:00,90378.800000,90395.720000,90264.510000,90337.260000,890
2025.12.13 04:00,90349.860000,90423.620000,90270.470000,90373.570000,962
2025.12.13 03:00,90237.820000,90475.090000,90197.180000,90348.250000,934
2025.12.13 02:00,90221.340000,90318.870000,90210.730000,90234.230000,1013
2025.12.13 01:00,90325.730000,90361.740000,90113.460000,90224.600000,1045
2025.12.13 00:00,90282.050000,90442.930000,90202.640000,90320.290000,1321
2025.12.12 23:00,90351.190000,90402.540000,90231.460000,90280.670000,1373
2025.12.12 22:00,90191.500000,90399.230000,90184.130000,90349.180000,1528
2025.12.12 21:00,90218.430000,90360.500000,90107.360000,90194.310000,1997
2025.12.12 20:00,90198.360000,90349.550000,89886.950000,90217.850000,4185
2025.12.12 19:00,90394.400000,90427.330000,90007.760000,90196.380000,4569
2025.12.12 18:00,90106.500000,90684.040000,90044.980000,90393.610000,5658
2025.12.12 17:00,90048.990000,90639.090000,89835.100000,90105.990000,7013
2025.12.12 16:00,89931.690000,90445.900000,89473.820000,90048.060000,11814
2025.12.12 15:00,92456.190000,92474.160000,89767.090000,89942.300000,14373
2025.12.12 14:00,92324.470000,92690.150000,91899.500000,92460.880000,6222
2025.12.12 13:00,92437.120000,92530.430000,92245.550000,92323.140000,1907
2025.12.12 12:00,92425.640000,92446.710000,92079.680000,92440.680000,1829
2025.12.12 11:00,92503.790000,92503.790000,92278.910000,92432.190000,1719
2025.12.12 10:00,92526.970000,92647.730000,92420.200000,92504.160000,1803
2025.12.12 09:00,92354.810000,92565.280000,92086.230000,92524.390000,2077
2025.12.12 08:00,92440.760000,92501.380000,92099.800000,92368.820000,2224
2025.12.12 07:00,92518.070000,92585.290000,92266.840000,92441.330000,1761
2025.12.12 06:00,92444.710000,92744.290000,92408.020000,92520.630000,2063
2025.12.12 05:00,92415.690000,92516.720000,92075.160000,92450.380000,1966
2025.12.12 04:00,92301.030000,92475.280000,92141.020000,92403.110000,1829
2025.12.12 03:00,92610.830000,92781.830000,92182.530000,92304.660000,2604
2025.12.12 02:00,92181.570000,92760.750000,91935.150000,92604.790000,3551
2025.12.12 01:00,91599.620000,92334.640000,91542.230000,92181.670000,4282
2025.12.12 00:00,92541.940000,92668.780000,91469.480000,91597.100000,3709
2025.12.11 23:00,92379.320000,92838.210000,92345.050000,92544.870000,3891
